movie,cell_number,object_id,Acc(1)/Alt(0)/NA(3),slice_num,x1,y1,z1,x4,y4,z4,x2,y2,z2,x3,y3,z3,Mother's cell number,Daughter cell Acc,Daughter cell Alt,dist pole to pole,length(um)
CDCssbGFPmcherry01_102,1,-1,1,34,538,515.3333,34,554.3333,523.6667,34,554.3333,523.6667,34,554.3333,523.6667,34,0,2,0,18.33636399,1.961489562
CDCssbGFPmcherry01_102,1,-1,1,37,531,518,37,552,523,37,552,523,37,552,523,37,0,2,0,21.58703314,2.309222276
CDCssbGFPmcherry01_102,1,-1,1,40,525.3333,532,40,550.6667,528.3333,40,550.6667,528.3333,40,550.6667,528.3333,40,0,2,0,25.59737964,2.738219693
CDCssbGFPmcherry01_102,1,-1,1,43,526,540.3333,43,547.3333,527.6667,43,547.3333,527.6667,43,547.3333,527.6667,43,0,2,0,24.81032939,2.654026837
CDCssbGFPmcherry01_102,1,-1,1,46,530.3333,547,46,550,527,46,550,527,46,550,527,46,0,2,0,28.04958269,3.000538367
CDCssbGFPmcherry01_102,1,-1,1,49,530.6667,546.3333,49,552,529.6667,49,552,529.6667,49,552,529.6667,49,0,2,0,27.07185336,2.895948064
CDCssbGFPmcherry01_102,1,-1,1,52,529,545,52,552.3333,530.3333,52,552.3333,530.3333,52,552.3333,530.3333,52,0,2,0,27.560025,2.948169081
CDCssbGFPmcherry01_102,1,-1,1,55,527.3333,551,55,549.3333,534.6667,55,549.3333,534.6667,55,549.3333,534.6667,55,0,2,0,27.40030454,2.931083359
CDCssbGFPmcherry01_102,1,-1,1,58,525.3333,554,58,547.6667,535,58,547.6667,535,58,547.6667,535,58,0,2,0,29.32201827,3.136654181
CDCssbGFPmcherry01_102,1,-1,1,61,523.3333,554,61,547.3333,535.3333,61,533.3333,547.6667,61,547.3333,535.3333,61,0,2,0,30.40469847,3.252471358
CDCssbGFPmcherry01_102,1,-1,1,64,522,553.3333,64,546.3333,535.6667,64,546.3333,535.6667,64,546.3333,535.6667,64,0,2,0,30.07022189,3.21669151
CDCssbGFPmcherry01_102,1,-1,1,67,519.6667,554.3333,67,545.3333,536,67,545.3333,536,67,545.3333,536,67,0,2,0,31.54178569,3.374108598
CDCssbGFPmcherry01_102,1,-1,1,70,502,496.33334,70,533,476.33334,70,518.3333,487.66666,70,533,476.33334,70,0,2,0,36.89173349,3.946406725
CDCssbGFPmcherry01_102,1,-1,1,73,497.33334,491.33334,73,532.6667,479,73,514.3333,489.33334,73,532.6667,479,73,0,2,0,37.42402443,4.003347301
CDCssbGFPmcherry01_102,1,-1,1,76,487.33334,486.33334,76,532.3333,489.33334,76,505,494.33334,76,532.3333,489.33334,76,0,2,0,45.09984922,4.824450668
