movie,cell_number,object_id,Acc(1)/Alt(0)/NA(3),slice_num,x1,y1,z1,x4,y4,z4,x2,y2,z2,x3,y3,z3,Mother's cell number,Daughter cell Acc,Daughter cell Alt,dist pole to pole
CDCssbGFPmcherry01_030,1,-1,3,25,553.6667,710,25,534.6667,694.3333,25,534.6667,694.3333,25,534.6667,694.3333,25,0,2,3,24.62611396
CDCssbGFPmcherry01_030,1,-1,3,28,556.3333,709.3333,28,529.3333,701,28,529.3333,701,28,529.3333,701,28,0,2,3,28.25674944
CDCssbGFPmcherry01_030,1,-1,3,31,550.6667,705,31,525.3333,719,31,540,712.3333,31,525.3333,719,31,0,2,3,28.94444948
CDCssbGFPmcherry01_030,1,-1,3,34,550.3333,710.3333,34,537.3333,683.3333,34,543.6667,701.3333,34,541.3333,697,34,0,2,3,29.96664813
CDCssbGFPmcherry01_030,1,-1,3,37,558.6667,712.3333,37,530,695,37,530,695,37,530,695,37,0,2,3,33.49959668
CDCssbGFPmcherry01_030,1,-1,3,40,567.3333,688,40,531.3333,692.6667,40,552,690,40,531.3333,692.6667,40,0,2,3,36.30121333
CDCssbGFPmcherry01_030,1,-1,3,43,564.6667,677.6667,43,530,695,43,530,695,43,530,695,43,0,2,3,38.75852652
CDCssbGFPmcherry01_030,1,-1,3,46,566.6667,679,46,530.3333,695,46,530.3333,695,46,530.3333,695,46,0,2,3,39.70032689
CDCssbGFPmcherry01_030,1,-1,3,49,570,682.3333,49,532,696.3333,49,532,696.3333,49,532,696.3333,49,0,2,3,40.49691346
CDCssbGFPmcherry01_030,1,-1,3,52,569.6667,682,52,530.3333,694.6667,52,534.3333,694,52,530.3333,694.6667,52,0,2,3,41.32265292
CDCssbGFPmcherry01_030,1,-1,3,55,570.6667,681,55,531,696,55,531,696,55,531,696,55,0,2,3,42.40810169
CDCssbGFPmcherry01_030,1,-1,3,58,572,685.6667,58,529.6667,694,58,529.6667,694,58,529.6667,694,58,0,2,3,43.14570868
CDCssbGFPmcherry01_030,1,-1,3,61,572.6667,683.6667,61,528.6667,696,61,528.6667,696,61,528.6667,696,61,0,2,3,45.69584542
CDCssbGFPmcherry01_030,2,-2,1,64,552.3333,719,64,553.6667,693.6667,64,553.6667,693.6667,64,553.6667,693.6667,64,1,0,0,25.368367
CDCssbGFPmcherry01_030,2,-2,1,67,546,699.6667,67,558,676.6667,67,548,689,67,558,676.6667,67,1,0,0,25.94224354
CDCssbGFPmcherry01_030,2,-2,1,70,545.6667,693.3333,70,558.6667,669.6667,70,558.6667,669.6667,70,558.6667,669.6667,70,1,0,0,27.0019991
